facility_id,nama,jenis_raw,jenis_std,energy_group,tahun_operasi,regpln,provinsi,longitude,latitude
602,PLTU Kaltim - Teluk Balikpapan Unit 1,PLTU,PLTU,non_renewable,2022,Kalimantan,Kalimantan Timur,116.78908188800006,-1.1700136129999803
601,PLTU Kaltim - Teluk Balikpapan Unit 2,PLTU,PLTU,non_renewable,2022,Kalimantan,Kalimantan Timur,116.78901751500008,-1.170136968999941
2287,PLTU Kaltim 4 (Ekspansi-2 Embalut) #01,PLTU,PLTU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.06576668700006,-0.3638349429999721
2288,PLTU Kaltim 4 (Ekspansi-2 Embalut) #02,PLTU,PLTU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.0659451460001,-0.3638230449999469
660,PLTU Kariangau (PT. Kariangau Power) #01,PLTU,PLTU,non_renewable,2014,Kalimantan,Kalimantan Timur,116.80144045600002,-1.1988393229999588
2284,PLTU Kariangau (PT. Kariangau Power) #02,PLTU,PLTU,non_renewable,2014,Kalimantan,Kalimantan Timur,116.801447595,-1.199053474999971
948,PLTU Lati (PT. Indo Pusaka Berau),PLTU,PLTU,non_renewable,2004,Kalimantan,Kalimantan Timur,117.61876395400007,2.214621654000041
654,PLTU MT Kaltim (Muara Jawa) #01,PLTU,PLTU,non_renewable,2018,Kalimantan,Kalimantan Timur,117.18867726300005,-0.7801875419999647
2292,PLTU MT Kaltim (Muara Jawa) #02,PLTU,PLTU,non_renewable,2018,Kalimantan,Kalimantan Timur,117.18882598000005,-0.7803422069999328
651,PLTU Mangkujenang,PLTU,PLTU,non_renewable,2015,Kalimantan,Kalimantan Timur,117.15605500000004,-0.5385799999999676
2293,PLTU PT. Kalimantan Powerindo,PLTU,PLTU,non_renewable,2016,Kalimantan,Kalimantan Timur,116.83694803900003,-0.3200392369999463
652,PLTU Rimba Raya,PLTU,PLTU,non_renewable,2015,Kalimantan,Kalimantan Timur,117.03456809600004,-0.5468512839999562
910,PLTU Sangatta (PT. Kaltim Prima Coal) Ex Sektor Mahakam,PLTU,PLTU,non_renewable,2017,Kalimantan,Kalimantan Timur,117.63547000000004,0.5394600000000196
649,PLTU Senoni #01,PLTU,PLTU,non_renewable,2011,Kalimantan,Kalimantan Timur,117.092666333,-0.5433921029999738
2285,PLTU Senoni #02,PLTU,PLTU,non_renewable,2011,Kalimantan,Kalimantan Timur,117.0927091640001,-0.5435420089999639
2294,PLTU Tanjung Redep / Berau #01,PLTU,PLTU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.3927228770001,2.156031201000076
2295,PLTU Tanjung Redep / Berau #02,PLTU,PLTU,non_renewable,2020,Kalimantan,Kalimantan Timur,117.39256107300002,2.156097826000064
665,PLTU Teluk Balikpapan #01,PLTU,PLTU,non_renewable,2017,Kalimantan,Kalimantan Timur,116.78917543800004,-1.16978673899996
2273,PLTU Teluk Balikpapan #02,PLTU,PLTU,non_renewable,2017,Kalimantan,Kalimantan Timur,116.78938959000004,-1.1702435949999312
576,Steam Turbin PLTGU Tanjung Batu,Steam,STEAM,non_renewable,2022,Kalimantan,Kalimantan Timur,117.05118335400005,-0.3810469139999668
946,PLTBg Rea Kaltim,PLTBg,PLTBG,renewable,2011,Kalimantan,Kalimantan Timur,115.80147000000012,-0.2423299999999244
979,PLTBm Gunung Sari HHM,PLTBm,PLTBM,renewable,0,Kalimantan,Kalimantan Timur,117.1165732500001,2.185290964000046
912,PLTBm Karangan DL,PLTBm,PLTBM,renewable,1992,Kalimantan,Kalimantan Timur,117.67281517800006,1.3496900000000664
977,PLTBm Talisayan DL,PLTBm,PLTBM,renewable,2013,Kalimantan,Kalimantan Timur,118.17716325000004,1.604936268000074
