objectid,remark,kode2,id,nama_danau,lokasi,provinsi,luas_ha_,klasifikas,tipe,pot_mw
209,Danau/Situ,7086A,ID-PA.93,Telaga Serifisa,"Kec.Rofaer, Kab.Mamberamo Raya",Papua,70.41,Kecil,-,3.52049994
210,Danau/Situ,7089A,ID-PA.88,Danau Masakura,"Kec.Yoke, Kab.Mamberamo Raya",Papua,2439.97,Sedang,Paparan banjir,121.9980011
211,Danau/Situ,7090A,ID-PA.50,Danau Paniai,"Kec.Darouto, Kab.Paniai",Papua,14131.39,Besar,Tektonik,706.57000732
212,Danau/Situ,7091A,ID-PA.71,Talaga Wanita,"Kec.Doufo, Kab.Puncak",Papua,213.51,Kecil,-,10.67549992
213,Danau/Situ,7093A,ID-PA.216,Noname 99,"Kec. Doufo, Kab. Puncak",Papua,33.69,Kecil,-,1.68449998
214,Danau/Situ,7094A,ID-PA.310,Noname 193,"Kec. Yamor, Kab. Kaimana",Papua,84.43,Kecil,-,4.22149992
215,Danau/Situ,7095A,ID-PB.7,Danau Nanami,"Kec.Yamor, Kab.Kaimana",Papua Barat,751.22,Kecil,Paparan banjir,37.56100082
216,Danau/Situ,7100A,ID-PB.6,Danau Mutapo,"Kec.Urubika, Kab.Kaimana",Papua Barat,817.47,Kecil,Paparan banjir,40.87350082
217,Danau/Situ,7104A,ID-PB.5,Danau Yamur,"Kec.Wagioha, Kab.Kaimana",Papua Barat,3626.64,Sedang,Tektonik,181.33200073
218,Danau/Situ,7107A,ID-PB.8,Danau Anapuyu,"Kec.Urubika, Kab.Kaimana",Papua Barat,59.07,Kecil,Paparan banjir,2.95350003
219,Danau/Situ,7109A,ID-PA.98,Danau Nisamer / Nisa,"Kec.Waropen Atas, Kab.Mamberamo raya",Papua,286.34,Kecil,-,14.31700039
220,Danau/Situ,7111A,ID-PB.4,Danau Kamakawalor,"Kec.Kaimana, Kab.Kaimana",Papua Barat,2479.44,Sedang,Tektonik,123.97200012
221,Danau/Situ,7112A,ID-PB.9,Danau Aiwasu,"Kec.Yamor, Kab.Kaimana",Papua Barat,3240.38,Sedang,Tektonik,162.01899719
222,Danau/Situ,7113A,ID-PB.12,Danau Kamkabif,"Kec.Yamor, Kab.Kaimana",Papua Barat,120.96,Kecil,-,6.04799986
223,Danau/Situ,7120A,ID-PB.16,Danau Sewiki,"Kec.Tlk. Arguni, Kab.Kaimana",Papua Barat,635.12,Kecil,Paparan banjir,31.75600052
224,Danau/Situ,7126A,ID-PB.17,Danau Mbuta,"Kec.Yamor, Kab.Kaimana",Papua Barat,2967.54,Sedang,-,148.3769989
225,Danau/Situ,7226A,ID-PB.1,Danau Anggi Giji,"Kec.Pegunungan Arfak, Kab.Pegunungan Arfak",Papua Barat,2153.12,Sedang,Tektonik,107.65599823
226,Danau/Situ,7227A,ID-PB.3,Danau Anggi Gida,"Kec.Pegunungan Arfak, Kab.Pegunungan Arfak",Papua Barat,2283.02,Sedang,Tektonik,114.15100098
227,Danau/Situ,7230A,ID-PB.2,"Danau Framu, Ayamaru","Kec.Ayamaru, Kab.Maybrat",Papua Barat,682.33,Kecil,Karst,34.11650085
228,Danau/Situ,7231A,ID-PB.11,Danau Makiri,"Kec.Weriagar, Kab.Teluk Bintuni",Papua Barat,722.17,Kecil,Paparan banjir,36.10850143
229,Danau/Situ,7232A,ID-PB.10,Danau Tanemot,"Kec.Weriagar, Kab.Teluk Bintuni",Papua Barat,1948.65,Sedang,Paparan banjir,97.43250275
230,Danau/Situ,7484A,ID-PA.17,Danau Irisai,"Kec.Kaureh, Kota Jayapura",Papua,31.32,Kecil,-,1.56599998
231,Danau/Situ,7485A,ID-PA.105,Danau Lilin,"Kec.Kaureh, Kota Jayapura",Papua,21.48,Kecil,-,1.074
232,Danau/Situ,7486A,ID-PA.16,Danau Powou,"Kec.Kaureh, Kota Jayapura",Papua,237.67,Kecil,-,11.8835001
233,Danau/Situ,7497A,ID-PA.95,Danau Sentani,"Kec.Itakiwa, Kota Jayapura",Papua,9322.53,Sedang,Tektonik,466.12600708
234,Danau/Situ,7499A,ID-PA.7,Danau Waluku,"Kec.Heram, Kota Jayapura",Papua,55.59,Kecil,-,2.77950001
